Book	Chapter	Question Number	Question	Reference Verse	Correct Answer	Answer A	Answer B	Answer C	Answer D	
Act	1	22	The mount from which the apostles returned to Jerusalem after Jesus' ascension was how far from the city?	12	B	A three-day camel trek	A Sabbath day's journey	About ten miles	A full day's walk	
Act	1	23	After Jesus ascended, to what place in Jerusalem did the apostles go up, where they were staying?	13	D	The temple courts	The house of Mary	The synagogue	The upper room	
Act	1	24	Which of the following were among the apostles staying in the upper room after Jesus' ascension?	13	D	Peter and John	Philip and Thomas	James the son of Alphaeus and Simon the Zealot	All of the above	
Act	1	25	In the list of apostles staying in the upper room after Jesus' ascension, which two are named first?	13	B	James and Andrew	Peter and John	Philip and Thomas	Bartholomew and Matthew	
Act	1	26	Among the apostles listed in the upper room after Jesus' ascension, Simon is given what title?	13	A	The Zealot	The Canaanite	Called Peter	The tanner	
Act	1	27	In the upper room after Jesus' ascension, besides the women, with whom were the apostles devoting themselves to prayer?	14	B	The seventy disciples	Mary the mother of Jesus, and his brothers	The scribes and elders	The disciples of John	
Act	1	28	When Peter stood up among the believers to propose replacing Judas, about how many persons made up the company?	15	A	About 120	About 500	About 3,000	Just Peter and his shadow	
Act	1	29	When Peter proposed choosing a replacement for Judas, he said the Scripture spoken by the Holy Spirit through David concerned whom?	16	B	Pilate	Judas	Caiaphas	Herod	
Act	1	30	As Peter spoke about replacing Judas, what did he say Judas had become to those who arrested Jesus?	16	B	A witness	A guide	A soldier	A betrayer for silver	
Act	1	31	As Peter spoke about Judas, he said Judas had been numbered among the apostles and was allotted his share in what?	17	D	The priesthood	The covenant	The kingdom of God	This ministry	
Act	1	32	In Peter's account of Judas' end, what did Judas acquire with the reward of his wickedness?	18	C	A tomb	A house	A field	Thirty pieces of silver	
Act	1	33	When Judas fell headlong and burst open in the middle, what happened to Judas?	18	A	All his bowels gushed out	He was buried by strangers	He was struck blind	The ground swallowed him	
Act	1	34	What did the inhabitants of Jerusalem call the field connected with Judas, in their own language?	19	D	Golgotha	Gethsemane	Gehenna	Akeldama	
Act	1	35	What does the name “Akeldama,” given to the field connected with Judas, mean?	19	D	Potter's Field	Field of Dreams	Place of the Skull	Field of Blood	
Act	1	36	As Peter spoke about replacing Judas, he quoted the Book of Psalms: “Let another take his ___.”	20	A	Office	Place	Throne	Share	
Act	1	37	As the apostles sought to replace Judas, the man chosen had to have accompanied them beginning from what event?	21-22	B	The birth of Jesus	The baptism of John	The Last Supper	The feeding of the five thousand	
Act	1	38	The man chosen to replace Judas was to become, together with the apostles, a witness of what?	22	D	Jesus' miracles	Jesus' crucifixion	Jesus' teaching	Jesus' resurrection	
Act	1	39	When the apostles sought to replace Judas, which two men did they put forward as candidates?	23	D	Stephen and Philip	Barnabas and Saul	Silas and Nicanor	Joseph called Barsabbas, and Matthias	
Act	1	40	Of the two candidates put forward to replace Judas, Joseph was called Barsabbas and also called what?	23	D	Barnabas	Cephas	Nicanor	Justus	
Act	1	41	In the apostles' prayer to choose between the two candidates to replace Judas, how did they address the Lord?	24	D	“O Lord, God of our fathers”	“Lord, righteous Father”	“Almighty God, Maker of heaven and earth”	“You, Lord, who know the hearts of all”	
Act	1	42	In the apostles' prayer over replacing Judas, they said Judas turned aside from his ministry to go where?	25	B	To the grave	To his own place	To the chief priests	Into the wilderness	
Act	1	43	How did the apostles decide between Joseph and Matthias to replace Judas?	26	D	Peter chose him	The brothers voted	An angel appointed him	They cast lots	
Act	1	44	When the apostles chose a replacement for Judas, on whom did the lot fall, so that he was numbered with the eleven apostles?	26	B	Joseph called Barsabbas	Matthias	Justus	Stephen	
Act	1	45	Which of the following is true about the choosing of Matthias to replace Judas?	23-26	B	The apostles chose him by a show of hands of the whole company of 120.	The lot fell on Matthias, and he was numbered with the eleven apostles.	The two men put forward as candidates were Barnabas and Justus.	All of the above	
Act	2	1	In Acts 2, on what day were the believers all together in one place?	1	A	The day of Pentecost	The Sabbath	The Passover	The Feast of Booths	
Act	2	2	When the day of Pentecost arrived, how are the believers described?	1	A	All together in one place	Scattered throughout Judea	Hidden in the upper room only	Gathered in the temple courts	
Act	2	3	On the day of Pentecost, from where did the sound like a mighty rushing wind come?	2	D	From the temple	From the east	From the mountain	From heaven	
Act	2	4	On the day of Pentecost, the sound that came from heaven was like what?	2	C	A trumpet blast	A peal of thunder	A mighty rushing wind	A ram's horn quartet	
Act	2	5	On the day of Pentecost, the sound like a mighty rushing wind filled what?	2	D	The whole city	The temple courts	The streets of Jerusalem	The entire house where they were sitting	
Act	2	6	On the day of Pentecost, what appeared to the believers and rested on each one of them?	3	B	A bright cloud	Divided tongues as of fire	Rays of light	Doves	
Act	2	7	On the day of Pentecost, with what were the believers all filled?	4	A	The Holy Spirit	Joy	Wisdom	Power	
Act	2	8	On the day of Pentecost, when they were filled with the Holy Spirit, what did the believers begin to do?	4	C	Prophesy about the end	Heal the sick	Speak in other tongues as the Spirit gave them utterance	Sing praises	
Act	2	9	Which of the following accompanied the coming of the Holy Spirit on the day of Pentecost?	2-4	D	A sound like a mighty rushing wind	Divided tongues as of fire	Speaking in other tongues	All of the above	
Act	2	10	Which of the following is true about the events when the day of Pentecost arrived and the believers were all together in one place?	2-4	B	A pillar of fire descended and stood over the house where they were sitting.	There came from heaven a sound like a mighty rushing wind.	The Holy Spirit appeared as a dove resting over each one of them.	All of the above	
Act	2	11	At the time of Pentecost, who were dwelling in Jerusalem?	5	D	Roman soldiers and officials	The scattered tribes of Israel	Only the apostles and their families	Jews, devout men from every nation under heaven	
Act	2	12	On the day of Pentecost, when the multitude came together at the sound, why were they bewildered?	6	B	The house had been filled with fire	Each one was hearing them speak in his own language	The apostles were performing miracles	A darkness had come over the land	
Act	2	13	On the day of Pentecost, hearing their own languages spoken, how did the crowd react?	7	B	They were filled with rage	They were amazed and astonished	They fell down in fear	They fled the city	
Act	2	14	On the day of Pentecost, the amazed crowd asked, “Are not all these who are speaking ___?”	7	C	Judeans	Foreigners	Galileans	Prophets	
Act	2	15	On the day of Pentecost, the crowd marveled that each one heard the believers in his own what?	8	C	Accent	Prophecy	Native language	Song	
Act	2	16	On the day of Pentecost, which of the following groups is listed among those hearing the mighty works of God in their own language?	9-11	D	Parthians, Medes, and Elamites	Residents of Mesopotamia and Judea	Cretans and Arabians	All of the above	
Act	2	17	On the day of Pentecost, what did the crowd hear the believers telling in their own tongues?	11	D	The coming judgment	The law of Moses	The resurrection of Jesus	The mighty works of God	
Act	2	18	On the day of Pentecost, amazed and perplexed, what did the people say to one another?	12	B	“Who can these men be?”	“What does this mean?”	“Let us report this to the priests”	“Is this not the work of God?”	
Act	2	19	On the day of Pentecost, what did the mockers say about those speaking in tongues?	13	B	“They are followers of the Nazarene”	“They are filled with new wine”	“They have been at the strong coffee”	“They are out of their minds”	
Act	2	20	On the day of Pentecost, who stood up with the eleven and lifted up his voice to address the crowd?	14	B	John	Peter	James	Stephen	
Act	2	21	In Peter's Pentecost address, he called the crowd “Men of Judea and all who dwell in ___.”	14	D	Israel	Galilee	Judah	Jerusalem	
Act	2	22	In Peter's Pentecost address, he said the men were not drunk, since it was only what hour of the day?	15	B	The sixth hour	The third hour	Half past lunchtime	The ninth hour	
Act	2	23	In his Pentecost address Peter says the crowd cannot be drunk because it is only the third hour of the day; according to the ESV footnote, what time is that?	15	B	noon	9 a.m.	3 p.m.	6 a.m.	
Act	2	24	In Peter's Pentecost address, he said what the crowd was seeing had been uttered through which prophet?	16	C	Isaiah	Amos	Joel	David	
Act	2	25	In the prophecy of Joel that Peter quoted at Pentecost, God would pour out his Spirit on all flesh in what days?	17	D	The days of trouble	The days of Noah	The appointed days	The last days	
Act	2	26	In the prophecy Peter quoted at Pentecost, God would pour out his Spirit on whom?	17	C	Israel only	The apostles alone	All flesh	The priests and prophets	
Act	2	27	In the prophecy Peter quoted at Pentecost, what would the young men see?	17	B	Dreams	Visions	Angels	Signs	
Act	2	28	In the prophecy Peter quoted at Pentecost, what would the old men do?	17	D	See visions	Prophesy	Keep silent	Dream dreams	
Act	2	29	In the prophecy Peter quoted at Pentecost, on whom else would God pour out his Spirit, so that they would prophesy?	18	B	The kings of the earth	His male servants and female servants	The Levites	The children in the streets	
Act	2	30	In the prophecy Peter quoted at Pentecost, God would show wonders in the heavens above and signs where?	19	C	In the depths of the sea	Among the nations	On the earth below	In the hearts of men	
Act	2	31	In the prophecy Peter quoted at Pentecost, God would show wonders—blood, fire, and what?	19	A	Vapor of smoke	Pillars of cloud	Rushing wind	Hail	
Act	2	32	In the prophecy Peter quoted at Pentecost, the sun would be turned to what before the day of the Lord?	20	C	Blood	Fire	Darkness	Smoke	
Act	2	33	In the prophecy Peter quoted at Pentecost, the moon would be turned to what before the day of the Lord?	20	B	Darkness	Blood	Green cheese	Fire	
Act	2	34	In the prophecy Peter quoted at Pentecost, everyone who does what shall be saved?	21	A	Calls upon the name of the Lord	Believes the prophets	Keeps the law	Repents and fasts	
Act	2	35	In Peter's Pentecost address, by what hometown title did he call Jesus?	22	C	Jesus of Bethlehem	Jesus of Galilee	Jesus of Nazareth	Jesus the Judean	
Act	2	36	In Peter's Pentecost address, he said Jesus was a man attested to them by God with what?	22	D	Great teaching and wisdom	The words of the prophets	Signs from the temple	Mighty works and wonders and signs	
Act	2	37	In Peter's Pentecost address, he said Jesus was delivered up according to what?	23	C	The jealousy of the rulers	The demand of the crowd	The definite plan and foreknowledge of God	The counsel of the elders	
Act	2	38	In Peter's Pentecost address, he said Jesus was crucified and killed by the hands of whom?	23	C	The Romans	The chief priests	Lawless men	Sinners	
Act	2	39	In Peter's Pentecost address, he said God did what to Jesus, loosing the pangs of death?	24	C	Glorified him	Exalted him to the temple	Raised him up	Hid him in a cloud	
Act	2	40	In Peter's Pentecost address, he said it was not possible for Jesus to be held by what?	24	A	Death	The grave	His enemies	The law	
Act	2	41	In Peter's Pentecost address, whom did he quote as saying, “I saw the Lord always before me”?	25	A	David	Isaiah	Moses	Joel	
Act	2	42	In the words of David that Peter quoted at Pentecost, because the Lord was at his right hand, David said he would not be what?	25	C	Afraid	Ashamed	Shaken	Silenced	
Act	2	43	In the words of David that Peter quoted at Pentecost, David said his flesh would dwell in what?	26	A	Hope	Peace	Safety	Gladness	
Act	2	44	In the words of David that Peter quoted at Pentecost, God would not abandon his soul to where?	27	C	The pit	Destruction	Hades	The grave of his fathers	
Act	2	45	In the words of David that Peter quoted at Pentecost, God would not let his Holy One see what?	27	C	Death	Decay	Corruption	The grave	
Act	2	46	In the words of David that Peter quoted at Pentecost, God had made known to David the paths of what?	28	C	Peace	Righteousness	Life	Wisdom	
Act	2	47	In Peter's Pentecost address, what did he say about the tomb of David?	29	A	It is with us to this day	It had been opened	It was empty	It was unknown to them	
Act	2	48	In Peter's Pentecost address, he spoke with confidence about which patriarch, who both died and was buried?	29	C	Abraham	Jacob	David	Moses	
Act	2	49	In Peter's Pentecost address, he said God had sworn with an oath to David to set one of his descendants where?	30	D	In the temple	Over the nations	At his right hand	On his throne	
Act	2	50	In Peter's Pentecost address, he said David foresaw and spoke about the resurrection of whom?	31	A	The Christ	Himself	Elijah	The prophets	
Act	2	51	In Peter's Pentecost address, he declared “This Jesus God raised up,” and of that the apostles are what?	32	B	Heirs	Witnesses	Servants	Judges	
Act	2	52	In Peter's Pentecost address, he said that, exalted at God's right hand, Jesus received from the Father the promise of what, and poured it out?	33	D	The kingdom	Authority over the nations	Eternal life	The Holy Spirit	
Act	2	53	In Peter's Pentecost address, he said that David did not do what?	34	C	See corruption	Rise from the dead	Ascend into the heavens	Sit on the throne	
Act	2	54	Which of the following did Peter say in his Pentecost address to the men of Judea and Jerusalem?	15,34	B	It is the sixth hour, the time appointed for the noon meal.	These people are not drunk, since it is only the third hour of the day.	David himself ascended into the heavens and sits at God's right hand.	All of the above	
Act	2	55	In Peter's Pentecost address, he quoted, “The Lord said to my Lord, Sit at my right hand, until I make your enemies your ___.”	34-35	B	Servants	Footstool	Captives	Dust	
Act	2	56	In Peter's Pentecost address, he told all the house of Israel to know for certain that God has made Jesus both what?	36	D	King and Priest	Lord and Savior	Son and Judge	Lord and Christ	
Act	2	57	When the crowd heard Peter's Pentecost address, how did they respond?	37	C	They mocked him	They drove him out	They were cut to the heart	They fell asleep	
Act	2	58	After being cut to the heart by Peter's Pentecost address, what did the people ask Peter and the apostles?	37	D	“Who has sent you?”	“By what authority do you speak?”	“Where is this Jesus now?”	“Brothers, what shall we do?”	
Act	2	59	In response to the crowd's question at Pentecost, what did Peter tell the people to do?	38	D	Believe and be circumcised	Fast and pray	Confess and offer sacrifice	Repent and be baptized	
Act	2	60	At Pentecost, Peter said the people should be baptized in whose name for the forgiveness of their sins?	38	D	The Father	John	The Lord God	Jesus Christ	
Act	2	61	At Pentecost, what gift did Peter say the people would receive after repenting and being baptized?	38	C	Eternal life	Power from on high	The gift of the Holy Spirit	The kingdom of God	
Act	2	62	In Peter's Pentecost address, he said the promise is for the people, for their children, and for whom?	39	C	The house of Israel	The devout in Jerusalem	All who are far off	The circumcised	
Act	2	63	In Peter's Pentecost address, he said the promise is for everyone whom the Lord our God does what?	39	C	Sets apart	Has chosen	Calls to himself	Loves	
Act	2	64	At the close of Peter's Pentecost address, he exhorted the people to save themselves from what?	40	C	The coming wrath	Their bondage	This crooked generation	The judgment of the law	
Act	2	65	On the day of Pentecost, about how many souls were added when they received Peter's word and were baptized?	41	C	About five thousand	About one thousand	About three thousand	A cozy dozen	
Act	2	66	On the day of Pentecost, what happened to those who received Peter's word?	41	A	They were baptized	They returned home	They kept silent	They were sent away	
Act	2	67	To what did the first believers after Pentecost devote themselves?	42	D	The apostles' teaching and the fellowship	The breaking of bread	The prayers	All of the above	
Act	2	68	Among the first believers after Pentecost, what came upon every soul as many wonders and signs were done through the apostles?	43	A	Awe	Great joy	Fear of the rulers	A spirit of prophecy	
Act	2	69	In the days just after Pentecost, what is said of all who believed?	44	D	They scattered to their own towns	They kept their goods to themselves	They met only in secret	They were together and had all things in common	
Act	2	70	In the days just after Pentecost, what did the believers do with their possessions and belongings?	45	D	They stored them in the temple	They gave them to the priests	They kept them for their families	They sold them and distributed the proceeds to all, as any had need	
Act	2	71	In the days just after Pentecost, where did the believers attend together day by day, breaking bread in their homes?	46	C	The synagogue	The upper room	The temple	Solomon's portico	
Act	2	72	In the days just after Pentecost, the believers received their food with what kind of hearts?	46	D	Anxious and troubled hearts	Grumbling and hungry hearts	Proud and boastful hearts	Glad and generous hearts	
Act	2	73	In the days just after Pentecost, which of the following did the believers do day by day?	46-47	D	Attend the temple together	Break bread in their homes	Praise God	All of the above	
Act	2	74	In the days just after Pentecost, who added to their number day by day those who were being saved?	47	A	The Lord	The apostles	The Jerusalem Chamber of Commerce	The elders	
Act	3	1	Who were going up to the temple at the hour of prayer, the ninth hour?	1	B	Peter and James	Peter and John	Paul and Barnabas	Stephen and Philip	
Act	3	2	At what hour were Peter and John going up to the temple to pray?	1	D	The third hour	The sixth hour	A quarter past teatime	The ninth hour	
Act	3	3	Peter and John went up to the temple at the hour of prayer, the ninth hour; according to the ESV footnote, what time is that?	1	C	9 a.m.	noon	3 p.m.	6 p.m.	
Act	3	4	What was the condition of the man who was carried and laid daily at the temple gate?	2	B	Blind from birth	Lame from birth	Deaf and mute	Struck down by a fever	
Act	3	5	What was the name of the temple gate where the lame man was laid daily to ask alms?	2	C	The Sheep Gate	The Golden Gate	The Beautiful Gate	The Pearly Gate	
Act	3	6	What did the lame man ask of those entering the temple?	2	C	Bread	A blessing	Alms	Water	
Act	3	7	When the lame man saw Peter and John about to go into the temple, what did he ask to receive?	3	C	Healing	A blessing	Alms	Bread	
Act	3	8	Whom did the lame man at the temple see about to go into the temple, prompting him to ask for alms?	3	C	Peter and James	Paul and Barnabas	Peter and John	Philip and Stephen	
Act	3	9	What did Peter say to the lame man as he and John directed their gaze at him?	4	B	Rise and walk.	Look at us.	Peace be with you.	Do not be afraid.	
Act	3	10	As Peter and John spoke, what was the lame man expecting?	5	A	To receive something from them	To be rebuked by them	To be arrested	To be carried away	
Act	3	11	What did Peter say he did not have to give the lame man?	6	C	Bread and wine	Food and shelter	Silver and gold	A place to stay	
Act	3	12	In whose name did Peter command the lame man to rise up and walk?	6	D	The Lord God of Israel	The God of Abraham	The Holy Spirit	Jesus Christ of Nazareth	
Act	3	13	By which hand did Peter take the lame man and raise him up?	7	C	The left hand	Both hands	The right hand	The wrist	
Act	3	14	What parts of the man were immediately made strong when Peter raised him up?	7	A	His feet and ankles	His knees and legs	His hands and arms	His back and shoulders	
Act	3	15	What did the healed man do as he entered the temple with Peter and John?	8	D	Walking	Leaping	Praising God	All of the above	
Act	3	16	Which of the following is true about the healing of the man lame from birth at the temple gate?	1-8	C	Peter gave him silver and gold that the apostles had collected.	The man had been laid daily at the gate called Solomon's Portico.	Peter took him by the right hand and raised him up.	All of the above	
Act	3	17	Who saw the healed man walking and praising God?	9	B	Only the priests	All the people	Peter and John alone	The temple guards	
Act	3	18	What feelings filled the people when they recognized the healed man from the Beautiful Gate?	10	A	Wonder and amazement	Fear and trembling	Anger and jealousy	Doubt and confusion	
Act	3	19	To what portico did the astounded people run together while the healed man clung to Peter and John?	11	C	The portico called Herod's	The Court of the Gentiles	The portico called Solomon's	The Hall of Pillars	
Act	3	20	When Peter addressed the crowd that stared at him after the lame man was healed, how did he begin?	12	A	Men of Israel	Brothers and fathers	Men of Judea	Men of Galilee	
Act	3	21	Peter asked why the people stared at him and John, as though by whose power or piety the man was made to walk?	12	D	God's mercy alone	The temple's holiness	The law of Moses	Their own power or piety	
Act	3	22	Peter said the God of whom glorified his servant Jesus?	13	D	The God of Abraham	The God of Isaac	The God of Jacob	All of the above	
Act	3	23	In whose presence did Peter say the people delivered over and denied Jesus?	13	A	Pilate	Herod	Caiaphas	The Sanhedrin	
Act	3	24	According to Peter, what had Pilate decided to do with Jesus?	13	C	To crucify him	To imprison him	To release him	To flog him	
Act	3	25	Peter said the people denied the Holy and Righteous One and asked for whom to be granted to them instead?	14	D	A thief	A false prophet	A court jester	A murderer	
Act	3	26	By what title did Peter say the people denied Jesus, asking for a murderer instead?	14	C	The Son of Man	The King of the Jews	The Holy and Righteous One	The Lamb of God	
Act	3	27	What title did Peter say the people killed, whom God raised from the dead?	15	D	The Prince of Peace	The Light of the world	The Bread of life	The Author of life	
Act	3	28	Peter said, 'To this we are witnesses,' concerning what act of God?	15	B	That God sent fire from heaven	That God raised Jesus from the dead	That God parted the sea	That God spoke from a cloud	
Act	3	29	What did Peter say gave the healed man perfect health in the presence of all?	16	B	The mercy of the temple priests	The faith that is through Jesus	The strength of his own legs	The offerings of the people	
Act	3	30	Peter told the brothers that they had acted in what way, as did also their rulers?	17	D	In rebellion	In pride	In fear	In ignorance	
Act	3	31	What did God foretell by the mouth of all the prophets and thus fulfill?	18	A	That his Christ would suffer	That his Christ would reign	That his Christ would come quickly	That his kingdom would fall	
Act	3	32	After the healing, Peter called the people to repent and turn back so that what might happen?	19	B	That their enemies may be defeated	That their sins may be blotted out	That the temple may be restored	That their debts may be forgiven	
Act	3	33	Peter said times of refreshing may come from where?	20	B	The mountain of God	The presence of the Lord	The temple in Jerusalem	The throne of David	
Act	3	34	Whom did Peter say God would send, the Christ appointed for the people?	20	B	Elijah	Jesus	Moses	John	
Act	3	35	Peter said heaven must receive Jesus until what time?	21	A	The time for restoring all the things	The day of judgment	The fall of Jerusalem	The end of the age	
Act	3	36	Who said, 'The Lord God will raise up for you a prophet like me from your brothers'?	22	A	Moses	Samuel	Abraham	David	
Act	3	37	According to the words Peter cited, what happens to every soul who does not listen to that prophet?	23	C	Shall be cast out of the temple	Shall be handed over to Rome	Shall be destroyed from the people	Shall be banished to the desert with a single camel	
Act	3	38	Beginning from which prophet did all the prophets who spoke proclaim these days?	24	B	Moses	Samuel	Elijah	Isaiah	
Act	3	39	Peter said the people were sons of the prophets and of what?	25	D	The law that God gave to Moses	The kingdom that God promised David	The temple in which God dwelt	The covenant that God made with their fathers	
Act	3	40	With whom did God make the covenant, saying, 'in your offspring shall all the families of the earth be blessed'?	25	C	Isaac	Jacob	Abraham	Moses	
Act	3	41	What did God say would happen to all the families of the earth through Abraham's offspring?	25	C	They shall be judged	They shall be gathered	They shall be blessed	They shall be scattered	
Act	3	42	Peter said God sent his raised-up servant to the people first to do what?	26	D	To judge them for their sins	To gather them into the temple	To lead them out of bondage	To bless them by turning them from their wickedness	
Act	3	43	Peter told the men of Israel that God, having raised up his servant, sent him to whom first?	26	C	To the Gentiles first	To the rulers first	To them, the people of Israel	To the nations first	
Act	4	1	While the apostles were speaking to the people, who came upon them?	1	D	The priests	The captain of the temple	The Sadducees	All of the above	
Act	4	2	Why were the priests and Sadducees greatly annoyed with the apostles?	2	D	Because they were healing on the Sabbath	Because they refused to pay the temple tax	Because they were disturbing the marketplace	Because they were teaching the people and proclaiming in Jesus the resurrection from the dead	
Act	4	3	The priests and Sadducees were annoyed because the apostles were proclaiming in Jesus what?	2	D	The forgiveness of sins	The coming of the kingdom	The end of the temple	The resurrection from the dead	
Act	4	4	After the priests and Sadducees came upon them, what did they do with the apostles until the next day?	3	D	Sent them home with a warning	Brought them before Herod	Cast them out of the temple	Put them in custody	
Act	4	5	Why were the apostles held until the next day rather than examined at once?	3	B	Because the council had gone home	Because it was already evening	Because the high priest was away	Because it was the Sabbath	
Act	4	6	When many who had heard the word believed, the number of the men came to about how many?	4	C	About three thousand	About two thousand	About five thousand	The entire Roman legion	
Act	4	7	On the next day, who gathered together in Jerusalem to examine the apostles?	5	D	Their rulers	The elders	The scribes	All of the above	
Act	4	8	Who is named as the high priest present at the gathering?	6	A	Annas	Gamaliel	Ananias	Theophilus	
Act	4	9	Along with Annas, Caiaphas, and John, which man was present of the high-priestly family?	6	D	Ananias	Andrew	Aristarchus	Alexander	
Act	4	10	When they had set the apostles in the midst, what did the rulers inquire of them?	7	D	Who gave you this authority?	Where did you learn these things?	What is your name and lineage?	By what power or by what name did you do this?	
Act	4	11	Who, filled with the Holy Spirit, addressed the rulers of the people and elders?	8	B	John	Peter	Stephen	James	
Act	4	12	When Peter addressed the council, he was described as filled with what?	8	B	Great sorrow	The Holy Spirit	Righteous anger	Wisdom and learning	
Act	4	13	Peter said they were being examined concerning a good deed done to whom?	9	B	A blind beggar	A crippled man	A leper	A paralyzed woman	
Act	4	14	By what name did Peter say the man was made well and standing before them?	10	C	The name of the Lord God of Israel	The name of Moses	The name of Jesus Christ of Nazareth	The name of the God of Abraham	
Act	4	15	Peter said the man stood well by the name of Jesus Christ of Nazareth, whom the council had done what?	10	B	Condemned	Crucified	Handed over	Rejected	
Act	4	16	Peter said this man is standing before them well by Jesus, whom God did what?	10	C	Sent from heaven	Anointed with oil	Raised from the dead	Appointed as judge	
Act	4	17	Peter said Jesus is the stone rejected by the builders, which has become what?	11	D	The foundation	The capstone of the temple	A stumbling block	The cornerstone	
Act	4	18	Peter declared that there is salvation in whom?	12	B	The temple alone	No one else	The law of Moses	The prophets of old	
Act	4	19	Peter said there is no other name under heaven given among men by which we must be what?	12	A	Saved	Healed	Judged	Forgiven	
Act	4	20	When the council saw the boldness of Peter and John, what did they perceive them to be?	13	C	Learned scribes	Wealthy merchants	Uneducated, common men	Trained physicians	
Act	4	21	Seeing the boldness of Peter and John, the council recognized that they had been with whom?	13	B	The prophets	Jesus	John the Baptist	Gamaliel	
Act	4	22	Who was standing beside Peter and John, so the council had nothing to say in opposition?	14	D	The high priest's servant	A Roman guard	The captain of the temple	The man who was healed	
Act	4	23	What did the council command Peter and John to do while they conferred with one another?	15	B	To remain silent	To leave the council	To bow before them	To return the next day	
Act	4	24	The council admitted a notable sign had been performed and was evident to whom?	16	B	All the priests	All the inhabitants of Jerusalem	The whole council	The men of Galilee	
Act	4	25	Regarding the notable sign performed through the apostles, what did the council say they could not do?	16	A	Deny it	Explain it	Undo it	Hide it	
Act	4	26	To keep it from spreading further among the people, what did the council decide to do?	17	B	Imprison them for many days	Warn them to speak no more to anyone in this name	Banish them from Jerusalem	Bring them before the Romans	
Act	4	27	When the council charged the apostles, they were told not to speak or teach at all in whose name?	18	B	The Most High	Jesus	The God of Israel	The prophets	
Act	4	28	How did Peter and John respond to the council about listening to men rather than God?	19	B	We will obey God and not man in all things	Whether it is right in the sight of God to listen to you rather than to God, you must judge	Judge for yourselves whether we have done wrong	God has commanded us to remain silent no longer	
